Симптоми,Диагноза,Предотвратяване
"Болки в мускулите, Задух, Замаяност",Синдром на раздразнените черва,"Избягване на прекомерна употреба на алкохол, Избягване на стрес"
"Отпадналост, Замаяност, Болки в мускулите",Анемия,"Контрол на кръвната захар, Здравословен сън"
"Треска, Кашлица, Кожен обрив",Сърдечна недостатъчност,"Избягване на стрес, Избягване на прекомерна физическа активност"
"Хрема, Кашлица, Диария",Бронхит,"Редовни прегледи при лекар, Избягване на алергени"
"Кашлица, Отпадналост, Стомашни болки",Астма,"Често миене на ръце, Здравословна диета"
"Загуба на апетит, Затруднено преглъщане, Сърцебиене",Грип,"Избягване на тежка храна, Почивка и хидратация"
"Замаяност, Стомашни болки, Повръщане",Бронхит,"Приемане на лекарства по предписание, Избягване на прекомерна употреба на алкохол"
"Загуба на апетит, Треска, Задух",Инфаркт,"Избягване на алергени, Редовни физически упражнения"
"Болки в ставите, Болка в гърлото, Затруднено преглъщане",Менингит,"Почивка и хидратация, Здравословна диета"
"Замаяност, Болка в гърлото, Стомашни болки",Астма,"Често миене на ръце, Избягване на тежка храна"
"Диария, Високо кръвно налягане, Повръщане",Хранително отравяне,"Избягване на контакт със заразени лица, Избягване на прекомерна физическа активност"
"Хрема, Замаяност, Високо кръвно налягане",Менингит,"Почивка и хидратация, Редовни физически упражнения"
"Настинка, Стомашни болки, Болка в гърлото",Настинка,"Приемане на витамини, Здравословна диета"
"Болка в гърлото, Хрема, Настинка",Хепатит,"Приемане на лекарства по предписание, Редовни физически упражнения"
"Настинка, Болка в гърлото, Главоболие",Инфаркт,"Здравословен сън, Редовни прегледи при лекар"
"Кожен обрив, Повръщане, Кашлица",Настинка,"Контрол на кръвната захар, Избягване на алергени"
"Настинка, Повръщане, Задух",Менингит,"Избягване на алергени, Често миене на ръце"
"Задух, Повръщане, Отпадналост",Хепатит,"Ваксинация, Контрол на кръвната захар"
"Главоболие, Затруднено преглъщане, Стомашни болки",Артрит,"Редовни прегледи при лекар, Избягване на прекомерна употреба на алкохол"
"Болки в ставите, Главоболие, Сърцебиене",Грип,"Приемане на витамини, Често миене на ръце"
"Задух, Диария, Стомашни болки",Хипертония,"Избягване на прекомерна физическа активност, Избягване на контакт със заразени лица"
"Повръщане, Задух, Безсъние",Алергия,"Редовни физически упражнения, Поддържане на нормално тегло"
"Треска, Високо кръвно налягане, Кашлица",Артрит,"Често миене на ръце, Контрол на кръвната захар"
"Болки в мускулите, Високо кръвно налягане, Безсъние",Хипертония,"Избягване на прекомерна употреба на алкохол, Добро обличане през зимата"
"Настинка, Болки в ставите, Безсъние",Астма,"Здравословна диета, Избягване на прекомерна физическа активност"
"Болки в мускулите, Затруднено преглъщане, Отпадналост",Менингит,"Избягване на прекомерна физическа активност, Добро обличане през зимата"
"Високо кръвно налягане, Повръщане, Сърцебиене",Настинка,"Редовни прегледи при лекар, Избягване на стрес"
"Треска, Настинка, Стомашни болки",Хепатит,"Редовни прегледи при лекар, Избягване на тежка храна"
"Болка в гърлото, Повръщане, Кожен обрив",Мигрена,"Поддържане на нормално тегло, Редовно проветряване на помещенията"
"Настинка, Загуба на апетит, Сърцебиене",Мигрена,"Добро обличане през зимата, Избягване на стрес"
"Сърцебиене, Замаяност, Треска",Грип,"Избягване на алергени, Избягване на тежка храна"
"Стомашни болки, Кожен обрив, Задух",Гастрит,"Избягване на контакт със заразени лица, Редовни физически упражнения"
"Болка в гърлото, Настинка, Треска",Анемия,"Избягване на прекомерна физическа активност, Поддържане на нормално тегло"
"Диария, Затруднено преглъщане, Треска",Анемия,"Почивка и хидратация, Избягване на прекомерна употреба на алкохол"
"Треска, Замаяност, Настинка",Алергия,"Здравословна диета, Редовно проветряване на помещенията"
"Настинка, Замаяност, Кашлица",Грип,"Ваксинация, Избягване на тежка храна"
"Хрема, Главоболие, Диария",Пневмония,"Избягване на тежка храна, Редовни физически упражнения"
"Стомашни болки, Повръщане, Настинка",Алергия,"Избягване на стрес, Често миене на ръце"
"Болки в ставите, Затруднено преглъщане, Главоболие",Астма,"Добро обличане през зимата, Често миене на ръце"
"Загуба на апетит, Главоболие, Стомашни болки",Хепатит,"Избягване на тежка храна, Добро обличане през зимата"
"Загуба на апетит, Кашлица, Високо кръвно налягане",Хепатит,"Здравословна диета, Ваксинация"
"Болки в ставите, Повръщане, Безсъние",Инфаркт,"Почивка и хидратация, Поддържане на нормално тегло"
"Замаяност, Затруднено преглъщане, Диария",Анемия,"Ваксинация, Редовни прегледи при лекар"
"Треска, Кашлица, Болки в ставите",Грип,"Редовно проветряване на помещенията, Често миене на ръце"
"Главоболие, Болки в мускулите, Сърцебиене",Артрит,"Избягване на тежка храна, Добро обличане през зимата"
"Главоболие, Болки в мускулите, Загуба на апетит",Бронхит,"Спиране на тютюнопушенето, Почивка и хидратация"
"Треска, Стомашни болки, Болки в мускулите",Синдром на раздразнените черва,"Избягване на контакт със заразени лица, Избягване на тежка храна"
"Треска, Болки в мускулите, Затруднено преглъщане",Гастрит,"Избягване на прекомерна употреба на алкохол, Добро обличане през зимата"
"Кашлица, Затруднено преглъщане, Главоболие",Хипертония,"Контрол на кръвната захар, Често миене на ръце"
"Болка в гърлото, Диария, Болки в мускулите",Хранително отравяне,"Добро обличане през зимата, Избягване на контакт със заразени лица"
"Хрема, Треска, Високо кръвно налягане",Пневмония,"Приемане на витамини, Избягване на прекомерна физическа активност"
"Кашлица, Задух, Болка в гърлото",Хепатит,"Добро обличане през зимата, Здравословна диета"
"Загуба на апетит, Безсъние, Повръщане",Инфаркт,"Здравословен сън, Здравословна диета"
"Болка в гърлото, Кожен обрив, Треска",Псориазис,"Избягване на стрес, Редовни физически упражнения"
"Треска, Болка в гърлото, Настинка",Настинка,"Избягване на прекомерна употреба на алкохол, Избягване на прекомерна физическа активност"
"Болки в мускулите, Високо кръвно налягане, Кашлица",Менингит,"Избягване на стрес, Приемане на лекарства по предписание"
"Сърцебиене, Затруднено преглъщане, Болки в ставите",Инфаркт,"Почивка и хидратация, Ваксинация"
"Отпадналост, Треска, Повръщане",Хепатит,"Редовни физически упражнения, Редовни прегледи при лекар"
"Безсъние, Настинка, Болка в гърлото",Хипертония,"Избягване на контакт със заразени лица, Избягване на тежка храна"
"Безсъние, Болки в мускулите, Отпадналост",Диабет,"Поддържане на нормално тегло, Приемане на витамини"
"Повръщане, Болки в ставите, Сърцебиене",Мигрена,"Редовно проветряване на помещенията, Често миене на ръце"
"Отпадналост, Затруднено преглъщане, Хрема",Астма,"Редовни прегледи при лекар, Приемане на витамини"
"Болка в гърлото, Треска, Болки в ставите",Астма,"Избягване на алергени, Ваксинация"
"Настинка, Повръщане, Болки в мускулите",Инфаркт,"Спиране на тютюнопушенето, Приемане на витамини"
"Болка в гърлото, Болки в ставите, Безсъние",Артрит,"Почивка и хидратация, Избягване на прекомерна употреба на алкохол"
"Настинка, Повръщане, Отпадналост",Менингит,"Приемане на лекарства по предписание, Избягване на прекомерна физическа активност"
"Хрема, Отпадналост, Болки в мускулите",Бронхит,"Избягване на стрес, Добро обличане през зимата"
"Замаяност, Стомашни болки, Главоболие",Грип,"Спиране на тютюнопушенето, Избягване на прекомерна употреба на алкохол"
"Стомашни болки, Затруднено преглъщане, Отпадналост",Хранително отравяне,"Избягване на алергени, Редовно проветряване на помещенията"
"Замаяност, Треска, Хрема",Мигрена,"Избягване на прекомерна физическа активност, Поддържане на нормално тегло"
"Треска, Безсъние, Кожен обрив",Менингит,"Добро обличане през зимата, Здравословен сън"
"Повръщане, Сърцебиене, Задух",Алергия,"Приемане на витамини, Ваксинация"
"Затруднено преглъщане, Хрема, Сърцебиене",Алергия,"Избягване на алергени, Избягване на прекомерна употреба на алкохол"
"Болки в ставите, Замаяност, Болка в гърлото",Диабет,"Ваксинация, Приемане на витамини"
"Болки в ставите, Диария, Затруднено преглъщане",Хипертония,"Редовни прегледи при лекар, Редовно проветряване на помещенията"
"Кашлица, Болки в мускулите, Загуба на апетит",Гастрит,"Избягване на прекомерна употреба на алкохол, Ваксинация"
"Високо кръвно налягане, Задух, Повръщане",Псориазис,"Приемане на витамини, Приемане на лекарства по предписание"
"Треска, Кожен обрив, Загуба на апетит",Менингит,"Поддържане на нормално тегло, Избягване на стрес"
"Стомашни болки, Болка в гърлото, Хрема",Хипертония,"Спиране на тютюнопушенето, Поддържане на нормално тегло"
"Кожен обрив, Сърцебиене, Болки в мускулите",Анемия,"Избягване на стрес, Избягване на контакт със заразени лица"
"Кожен обрив, Настинка, Замаяност",Настинка,"Здравословна диета, Приемане на лекарства по предписание"
"Болка в гърлото, Високо кръвно налягане, Болки в мускулите",Хепатит,"Избягване на стрес, Редовни прегледи при лекар"
"Болка в гърлото, Болки в ставите, Треска",Псориазис,"Редовно проветряване на помещенията, Приемане на витамини"
"Задух, Болки в мускулите, Сърцебиене",Синдром на раздразнените черва,"Приемане на витамини, Избягване на контакт със заразени лица"
"Загуба на апетит, Безсъние, Диария",Псориазис,"Редовни прегледи при лекар, Избягване на прекомерна физическа активност"
"Отпадналост, Настинка, Главоболие",Артрит,"Редовно проветряване на помещенията, Здравословна диета"
"Безсъние, Болки в мускулите, Повръщане",Настинка,"Редовни физически упражнения, Редовно проветряване на помещенията"
"Сърцебиене, Кашлица, Настинка",Хепатит,"Приемане на лекарства по предписание, Здравословна диета"
"Диария, Кожен обрив, Болки в ставите",Инфаркт,"Често миене на ръце, Избягване на прекомерна физическа активност"
"Повръщане, Загуба на апетит, Високо кръвно налягане",Пневмония,"Добро обличане през зимата, Избягване на контакт със заразени лица"
"Задух, Повръщане, Сърцебиене",Гастрит,"Редовни прегледи при лекар, Избягване на стрес"
"Болка в гърлото, Замаяност, Сърцебиене",Астма,"Избягване на прекомерна физическа активност, Избягване на стрес"
"Болки в ставите, Задух, Отпадналост",Настинка,"Избягване на алергени, Здравословна диета"
"Кожен обрив, Главоболие, Диария",Астма,"Избягване на контакт със заразени лица, Редовни прегледи при лекар"
"Кашлица, Диария, Настинка",Артрит,"Спиране на тютюнопушенето, Здравословна диета"
"Замаяност, Безсъние, Кашлица",Хепатит,"Избягване на тежка храна, Поддържане на нормално тегло"
"Кашлица, Високо кръвно налягане, Болки в ставите",Диабет,"Поддържане на нормално тегло, Избягване на тежка храна"
"Задух, Сърцебиене, Болка в гърлото",Бронхит,"Избягване на тежка храна, Избягване на контакт със заразени лица"
"Отпадналост, Затруднено преглъщане, Болки в мускулите",Гастрит,"Здравословен сън, Редовно проветряване на помещенията"
"Замаяност, Кожен обрив, Хрема",Диабет,"Почивка и хидратация, Избягване на алергени"
"Затруднено преглъщане, Повръщане, Безсъние",Анемия,"Приемане на витамини, Добро обличане през зимата"
"Болки в ставите, Загуба на апетит, Сърцебиене",Грип,"Избягване на тежка храна, Редовно проветряване на помещенията"
"Загуба на апетит, Задух, Диария",Хепатит,"Ваксинация, Здравословен сън"
"Безсъние, Високо кръвно налягане, Настинка",Менингит,"Поддържане на нормално тегло, Спиране на тютюнопушенето"
"Повръщане, Главоболие, Болки в мускулите",Сърдечна недостатъчност,"Избягване на прекомерна употреба на алкохол, Избягване на контакт със заразени лица"
"Загуба на апетит, Болка в гърлото, Настинка",Депресия,"Спиране на тютюнопушенето, Избягване на алергени"
"Хрема, Замаяност, Треска",Астма,"Приемане на лекарства по предписание, Избягване на тежка храна"
"Треска, Замаяност, Задух",Анемия,"Редовно проветряване на помещенията, Избягване на тежка храна"
"Замаяност, Треска, Хрема",Диабет,"Спиране на тютюнопушенето, Здравословен сън"
"Болка в гърлото, Затруднено преглъщане, Треска",Мигрена,"Избягване на контакт със заразени лица, Ваксинация"
"Замаяност, Задух, Безсъние",Менингит,"Често миене на ръце, Избягване на алергени"
"Хрема, Високо кръвно налягане, Настинка",Бронхит,"Приемане на витамини, Избягване на стрес"
"Отпадналост, Главоболие, Безсъние",Хранително отравяне,"Редовно проветряване на помещенията, Здравословна диета"
"Настинка, Задух, Болки в ставите",Депресия,"Здравословен сън, Добро обличане през зимата"
"Диария, Загуба на апетит, Болка в гърлото",Псориазис,"Редовно проветряване на помещенията, Редовни прегледи при лекар"
"Затруднено преглъщане, Настинка, Високо кръвно налягане",Синдром на раздразнените черва,"Редовни физически упражнения, Избягване на прекомерна физическа активност"
"Затруднено преглъщане, Хрема, Отпадналост",Сърдечна недостатъчност,"Поддържане на нормално тегло, Приемане на витамини"
"Главоболие, Високо кръвно налягане, Стомашни болки",Мигрена,"Приемане на лекарства по предписание, Избягване на тежка храна"
"Замаяност, Сърцебиене, Отпадналост",Алергия,"Поддържане на нормално тегло, Приемане на лекарства по предписание"
"Хрема, Стомашни болки, Високо кръвно налягане",Менингит,"Често миене на ръце, Избягване на алергени"
"Затруднено преглъщане, Главоболие, Загуба на апетит",Гастрит,"Добро обличане през зимата, Избягване на алергени"
"Затруднено преглъщане, Главоболие, Диария",Менингит,"Почивка и хидратация, Спиране на тютюнопушенето"
"Замаяност, Сърцебиене, Отпадналост",Пневмония,"Редовни прегледи при лекар, Почивка и хидратация"
"Болки в мускулите, Повръщане, Настинка",Гастрит,"Редовни физически упражнения, Редовни прегледи при лекар"
"Настинка, Хрема, Сърцебиене",Инфаркт,"Редовно проветряване на помещенията, Ваксинация"
"Треска, Стомашни болки, Затруднено преглъщане",Менингит,"Спиране на тютюнопушенето, Често миене на ръце"
"Високо кръвно налягане, Загуба на апетит, Отпадналост",Гастрит,"Здравословен сън, Често миене на ръце"
"Болка в гърлото, Главоболие, Замаяност",Грип,"Добро обличане през зимата, Почивка и хидратация"
"Загуба на апетит, Главоболие, Диария",Депресия,"Приемане на витамини, Избягване на прекомерна употреба на алкохол"
"Загуба на апетит, Безсъние, Треска",Синдром на раздразнените черва,"Редовни физически упражнения, Здравословна диета"
"Кожен обрив, Хрема, Отпадналост",Хепатит,"Здравословен сън, Почивка и хидратация"
"Сърцебиене, Повръщане, Болка в гърлото",Псориазис,"Избягване на прекомерна физическа активност, Редовни прегледи при лекар"
"Треска, Загуба на апетит, Болки в мускулите",Алергия,"Приемане на витамини, Почивка и хидратация"
"Главоболие, Болки в мускулите, Болка в гърлото",Настинка,"Редовно проветряване на помещенията, Избягване на тежка храна"
"Замаяност, Кожен обрив, Хрема",Менингит,"Редовни прегледи при лекар, Добро обличане през зимата"
"Повръщане, Главоболие, Отпадналост",Бронхит,"Здравословен сън, Поддържане на нормално тегло"
"Хрема, Отпадналост, Треска",Алергия,"Редовно проветряване на помещенията, Избягване на прекомерна употреба на алкохол"
"Кашлица, Болка в гърлото, Високо кръвно налягане",Депресия,"Здравословна диета, Редовно проветряване на помещенията"
"Кожен обрив, Затруднено преглъщане, Болки в мускулите",Депресия,"Здравословен сън, Избягване на тежка храна"
"Сърцебиене, Болки в ставите, Треска",Гастрит,"Ваксинация, Добро обличане през зимата"
"Хрема, Главоболие, Замаяност",Артрит,"Приемане на витамини, Избягване на контакт със заразени лица"
"Главоболие, Задух, Хрема",Псориазис,"Избягване на тежка храна, Здравословен сън"
"Болки в ставите, Задух, Загуба на апетит",Хипертония,"Ваксинация, Приемане на лекарства по предписание"
"Кашлица, Главоболие, Диария",Сърдечна недостатъчност,"Избягване на прекомерна физическа активност, Редовни физически упражнения"
"Високо кръвно налягане, Главоболие, Кашлица",Диабет,"Избягване на алергени, Избягване на стрес"
"Повръщане, Високо кръвно налягане, Настинка",Хипертония,"Избягване на контакт със заразени лица, Редовни физически упражнения"
"Кашлица, Високо кръвно налягане, Диария",Астма,"Редовно проветряване на помещенията, Избягване на контакт със заразени лица"
"Затруднено преглъщане, Повръщане, Треска",Хранително отравяне,"Избягване на прекомерна употреба на алкохол, Редовно проветряване на помещенията"
"Сърцебиене, Настинка, Замаяност",Сърдечна недостатъчност,"Поддържане на нормално тегло, Избягване на стрес"
"Кашлица, Диария, Задух",Бронхит,"Спиране на тютюнопушенето, Редовно проветряване на помещенията"
"Стомашни болки, Болки в ставите, Треска",Алергия,"Избягване на стрес, Редовни прегледи при лекар"
"Кожен обрив, Настинка, Отпадналост",Диабет,"Поддържане на нормално тегло, Спиране на тютюнопушенето"
"Загуба на апетит, Диария, Стомашни болки",Настинка,"Здравословен сън, Контрол на кръвната захар"
"Хрема, Диария, Високо кръвно налягане",Депресия,"Избягване на контакт със заразени лица, Приемане на витамини"
"Стомашни болки, Главоболие, Повръщане",Сърдечна недостатъчност,"Избягване на прекомерна физическа активност, Поддържане на нормално тегло"
"Високо кръвно налягане, Кожен обрив, Диария",Псориазис,"Често миене на ръце, Здравословна диета"
"Стомашни болки, Задух, Треска",Синдром на раздразнените черва,"Контрол на кръвната захар, Редовни физически упражнения"
"Задух, Повръщане, Затруднено преглъщане",Депресия,"Ваксинация, Избягване на стрес"
"Кожен обрив, Диария, Главоболие",Хранително отравяне,"Здравословна диета, Добро обличане през зимата"
"Затруднено преглъщане, Високо кръвно налягане, Кожен обрив",Алергия,"Избягване на прекомерна употреба на алкохол, Редовни физически упражнения"
"Кожен обрив, Болки в ставите, Загуба на апетит",Гастрит,"Поддържане на нормално тегло, Избягване на тежка храна"
"Стомашни болки, Хрема, Диария",Алергия,"Поддържане на нормално тегло, Често миене на ръце"
"Болки в мускулите, Затруднено преглъщане, Кожен обрив",Пневмония,"Поддържане на нормално тегло, Избягване на прекомерна физическа активност"
"Настинка, Задух, Загуба на апетит",Диабет,"Избягване на алергени, Поддържане на нормално тегло"
"Отпадналост, Кашлица, Високо кръвно налягане",Мигрена,"Редовно проветряване на помещенията, Контрол на кръвната захар"
"Главоболие, Отпадналост, Стомашни болки",Грип,"Избягване на прекомерна физическа активност, Избягване на прекомерна употреба на алкохол"
"Болка в гърлото, Отпадналост, Замаяност",Диабет,"Контрол на кръвната захар, Приемане на витамини"
"Болка в гърлото, Болки в мускулите, Безсъние",Хранително отравяне,"Ваксинация, Приемане на лекарства по предписание"
"Отпадналост, Треска, Болки в мускулите",Псориазис,"Добро обличане през зимата, Спиране на тютюнопушенето"
"Затруднено преглъщане, Хрема, Кожен обрив",Депресия,"Почивка и хидратация, Редовни прегледи при лекар"
"Замаяност, Кожен обрив, Болки в мускулите",Анемия,"Избягване на прекомерна употреба на алкохол, Почивка и хидратация"
"Треска, Кожен обрив, Болки в мускулите",Пневмония,"Редовни физически упражнения, Здравословен сън"
"Стомашни болки, Настинка, Сърцебиене",Гастрит,"Избягване на прекомерна употреба на алкохол, Контрол на кръвната захар"
"Стомашни болки, Настинка, Затруднено преглъщане",Анемия,"Избягване на контакт със заразени лица, Редовни физически упражнения"
"Сърцебиене, Главоболие, Стомашни болки",Астма,"Избягване на прекомерна физическа активност, Избягване на контакт със заразени лица"
"Кожен обрив, Болки в ставите, Болки в мускулите",Хепатит,"Избягване на тежка храна, Редовни прегледи при лекар"
"Кожен обрив, Затруднено преглъщане, Задух",Мигрена,"Често миене на ръце, Добро обличане през зимата"
"Болка в гърлото, Безсъние, Замаяност",Настинка,"Приемане на витамини, Здравословен сън"
"Затруднено преглъщане, Болка в гърлото, Болки в мускулите",Синдром на раздразнените черва,"Редовно проветряване на помещенията, Ваксинация"
"Главоболие, Настинка, Сърцебиене",Диабет,"Избягване на алергени, Почивка и хидратация"
"Болка в гърлото, Замаяност, Болки в ставите",Синдром на раздразнените черва,"Приемане на лекарства по предписание, Избягване на прекомерна физическа активност"
"Загуба на апетит, Затруднено преглъщане, Болка в гърлото",Инфаркт,"Редовни физически упражнения, Редовни прегледи при лекар"
"Болки в ставите, Повръщане, Затруднено преглъщане",Диабет,"Избягване на прекомерна физическа активност, Избягване на тежка храна"
"Болки в ставите, Безсъние, Повръщане",Диабет,"Поддържане на нормално тегло, Добро обличане през зимата"
"Задух, Настинка, Болки в мускулите",Хранително отравяне,"Здравословен сън, Редовни физически упражнения"
"Затруднено преглъщане, Безсъние, Настинка",Грип,"Приемане на лекарства по предписание, Добро обличане през зимата"
"Стомашни болки, Високо кръвно налягане, Сърцебиене",Хипертония,"Здравословна диета, Редовни прегледи при лекар"
"Стомашни болки, Безсъние, Главоболие",Мигрена,"Избягване на контакт със заразени лица, Приемане на лекарства по предписание"
"Затруднено преглъщане, Безсъние, Стомашни болки",Пневмония,"Избягване на алергени, Избягване на прекомерна употреба на алкохол"
"Високо кръвно налягане, Загуба на апетит, Стомашни болки",Настинка,"Избягване на прекомерна употреба на алкохол, Приемане на лекарства по предписание"
"Затруднено преглъщане, Повръщане, Болки в мускулите",Анемия,"Добро обличане през зимата, Редовни физически упражнения"
"Диария, Кожен обрив, Високо кръвно налягане",Сърдечна недостатъчност,"Добро обличане през зимата, Редовни прегледи при лекар"
"Треска, Повръщане, Затруднено преглъщане",Менингит,"Избягване на алергени, Избягване на контакт със заразени лица"
"Кашлица, Треска, Загуба на апетит",Сърдечна недостатъчност,"Избягване на прекомерна физическа активност, Избягване на алергени"
"Затруднено преглъщане, Треска, Сърцебиене",Хранително отравяне,"Здравословен сън, Избягване на прекомерна физическа активност"
"Замаяност, Хрема, Стомашни болки",Настинка,"Приемане на витамини, Добро обличане през зимата"
"Кожен обрив, Болки в мускулите, Болка в гърлото",Инфаркт,"Редовно проветряване на помещенията, Избягване на стрес"
"Високо кръвно налягане, Болка в гърлото, Настинка",Гастрит,"Контрол на кръвната захар, Добро обличане през зимата"
"Повръщане, Затруднено преглъщане, Настинка",Синдром на раздразнените черва,"Редовни прегледи при лекар, Почивка и хидратация"
"Болки в ставите, Диария, Замаяност",Мигрена,"Избягване на тежка храна, Редовни физически упражнения"
"Безсъние, Високо кръвно налягане, Сърцебиене",Псориазис,"Избягване на прекомерна физическа активност, Избягване на прекомерна употреба на алкохол"
"Замаяност, Главоболие, Високо кръвно налягане",Анемия,"Здравословен сън, Редовни физически упражнения"
"Треска, Високо кръвно налягане, Стомашни болки",Диабет,"Почивка и хидратация, Избягване на стрес"
"Кожен обрив, Болки в мускулите, Затруднено преглъщане",Менингит,"Избягване на тежка храна, Ваксинация"
"Болки в мускулите, Загуба на апетит, Настинка",Астма,"Избягване на прекомерна употреба на алкохол, Избягване на тежка храна"
"Сърцебиене, Настинка, Замаяност",Анемия,"Избягване на прекомерна физическа активност, Добро обличане през зимата"
"Болка в гърлото, Отпадналост, Високо кръвно налягане",Хипертония,"Често миене на ръце, Здравословна диета"
"Болки в мускулите, Диария, Болка в гърлото",Менингит,"Редовни прегледи при лекар, Избягване на стрес"
"Диария, Повръщане, Загуба на апетит",Артрит,"Редовни прегледи при лекар, Приемане на лекарства по предписание"
"Кожен обрив, Главоболие, Треска",Хранително отравяне,"Почивка и хидратация, Приемане на лекарства по предписание"
"Кожен обрив, Повръщане, Сърцебиене",Артрит,"Ваксинация, Приемане на витамини"
"Задух, Главоболие, Хрема",Хипертония,"Избягване на прекомерна физическа активност, Избягване на контакт със заразени лица"
"Треска, Загуба на апетит, Безсъние",Бронхит,"Почивка и хидратация, Редовно проветряване на помещенията"
"Задух, Загуба на апетит, Сърцебиене",Синдром на раздразнените черва,"Избягване на тежка храна, Поддържане на нормално тегло"
"Стомашни болки, Болка в гърлото, Кашлица",Диабет,"Избягване на стрес, Често миене на ръце"
"Безсъние, Настинка, Загуба на апетит",Псориазис,"Здравословна диета, Избягване на алергени"
"Високо кръвно налягане, Кожен обрив, Сърцебиене",Анемия,"Редовно проветряване на помещенията, Добро обличане през зимата"
"Повръщане, Безсъние, Главоболие",Хипертония,"Приемане на лекарства по предписание, Често миене на ръце"
"Стомашни болки, Сърцебиене, Задух",Диабет,"Ваксинация, Контрол на кръвната захар"
"Треска, Главоболие, Болки в мускулите",Артрит,"Избягване на тежка храна, Редовни физически упражнения"
"Безсъние, Настинка, Стомашни болки",Артрит,"Приемане на витамини, Редовно проветряване на помещенията"
"Главоболие, Високо кръвно налягане, Кашлица",Мигрена,"Избягване на прекомерна употреба на алкохол, Ваксинация"
"Диария, Настинка, Повръщане",Мигрена,"Избягване на прекомерна физическа активност, Здравословен сън"
"Болки в мускулите, Стомашни болки, Отпадналост",Псориазис,"Избягване на алергени, Приемане на лекарства по предписание"
"Главоболие, Настинка, Кожен обрив",Алергия,"Редовни прегледи при лекар, Почивка и хидратация"
"Настинка, Диария, Замаяност",Гастрит,"Редовни прегледи при лекар, Ваксинация"
"Стомашни болки, Диария, Повръщане",Артрит,"Здравословна диета, Често миене на ръце"
"Главоболие, Болка в гърлото, Замаяност",Грип,"Приемане на лекарства по предписание, Поддържане на нормално тегло"
